Tempo_Segundos,Uso_CPU_Percentual,Uso_RAM_MB,Custo_Parcial_R$,Custo_Acumulado_R$
1,31.2,22.07,0.016031,0.016031
2,28.1,22.81,0.014495,0.030527
3,28.1,22.71,0.014493,0.04502
4,29.7,22.71,0.015293,0.060314
5,32.8,22.71,0.016844,0.077157
6,34.4,22.71,0.017644,0.094801
7,31.2,22.71,0.016044,0.110845
8,31.2,22.71,0.016044,0.126888
9,31.2,22.71,0.016044,0.142932
10,35.9,22.71,0.018394,0.161326
11,34.3,22.71,0.017594,0.178919
12,32.8,22.71,0.016844,0.195763
13,31.2,22.71,0.016044,0.211806
14,34.4,22.71,0.017644,0.22945
15,31.0,22.71,0.015944,0.245394
16,29.4,22.71,0.015144,0.260537
17,34.2,22.71,0.017544,0.278081
18,27.9,22.71,0.014394,0.292475
19,32.6,22.71,0.016744,0.309218
20,29.6,22.71,0.015244,0.324462
21,32.7,22.71,0.016794,0.341256
22,34.1,22.71,0.017494,0.358749
23,29.7,22.71,0.015294,0.374043
24,27.9,22.71,0.014394,0.388437
25,34.2,22.71,0.017544,0.40598
26,28.1,22.71,0.014494,0.420474
27,32.8,22.71,0.016844,0.437318
28,29.7,22.71,0.015294,0.452611
29,32.8,22.71,0.016844,0.469455
30,32.8,22.75,0.016844,0.486299
31,29.7,22.75,0.015294,0.501594
32,29.7,22.75,0.015294,0.516888
33,28.1,22.75,0.014494,0.531382
34,29.7,22.75,0.015294,0.546677
35,28.1,22.75,0.014494,0.561171
36,28.1,22.75,0.014494,0.575666
37,34.4,22.76,0.017644,0.59331
38,32.8,22.76,0.016844,0.610155
39,31.2,22.76,0.016044,0.626199
40,29.7,22.76,0.015294,0.641494
41,32.8,22.76,0.016844,0.658338
42,31.2,22.76,0.016044,0.674383
43,32.5,22.76,0.016694,0.691077
44,29.7,22.76,0.015294,0.706372
45,26.6,18.27,0.013657,0.720028
